m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,loo
NA,0,-1,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_0.csv,8001.729651916074,-0.310235955863027,-1.220054233814852,-0.23226366944193724,-0.20791909784439758,-0.1784,-0.310235955863027,-1.220054233814852,0.7677363305580628,-0.029519097844397574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ,1,-1,0,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_0.csv,8947.279801382916,-0.11230726994918519,-0.948644911595139,-0.11519153373270707,-0.10667941966167542,-0.1784,-1.1123072699491852,-0.948644911595139,0.8848084662672929,0.07172058033832458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1,0,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_0.csv,7500.722124014981,0.079465157485099025,-0.23099170754018333,0.753497110089855,-0.141693191622819,-0.1784,1.079465157485099,-0.23099170754018333,0.753497110089855,0.036706808377181016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_0.csv,6022.0143298399635,0.2790056994294029,-0.7376175502314201,-1.7827030908715196,-0.20958103264873995,-0.1784,0.2790056994294029,-0.7376175502314201,-1.7827030908715196,-0.031181032648739948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ,1,0,0,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_0.csv,6389.637457668781,0.21878717366582262,-1.2435638149017825,-2.327672492057192,-0.11055187291046879,-0.1784,-0.7812128263341773,-1.2435638149017825,-2.327672492057192,0.06784812708953121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loc,-1,1,0,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_0.csv,5815.282222430687,0.2423897488580327,-0.8342238388748926,-1.716075040103573,-0.18471866183701643,-0.1784,1.2423897488580327,-0.8342238388748926,-2.716075040103573,-0.006318661837016432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loc,0,1,0,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_0.csv,7512.01090404042,0.7259685593222658,-0.7575160947625984,0.4982495365481084,-0.06878882143172178,-0.1784,0.7259685593222658,-0.7575160947625984,-0.5017504634518917,0.10961117856827822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ+Loc,1,1,0,dinst4,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_1_glob_0.csv,1540.6919104326516,1.1020937323742312,-0.9665249035397585,-2.1703531435249865,-0.16639353459053471,-0.1784,0.10209373237423125,-0.9665249035397585,-3.1703531435249865,0.012006465409465289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob,-1,-1,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_1.csv,5485.396182978293,1.2892065651346565,-0.8937296587467357,-2.0585699958340786,-0.16943815896006822,-0.1784,2.2892065651346565,-1.8937296587467358,-1.0585699958340786,0.008961841039931778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob,0,-1,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_1.csv,4468.800362605136,0.6810597235486295,-0.9292772287560526,0.15410706800495624,-0.12200593976878385,-0.1784,0.6810597235486295,-1.9292772287560527,1.1541070680049563,0.05639406023121615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ+Glob,1,-1,1,dinst4,hindi,Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_1.csv,7200.836157880491,1.0771946639307566,-1.013696737736975,-1.7660404640324758,-0.110374187461334,-0.1784,0.07719466393075658,-2.013696737736975,-0.7660404640324758,0.068025812538666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob,-1,0,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_0_glob_1.csv,359.20834927703254,0.8460449098387232,-0.8744794956233978,0.03699998673501396,-0.1815981040676234,-0.1784,1.846044909838723,-1.8744794956233979,0.03699998673501396,-0.0031981040676233863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob,0,0,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_0_glob_1.csv,3341.809305624105,1.0862356036121819,-0.7869028981907955,-0.47943444508242244,-0.18905290210370335,-0.1784,1.0862356036121819,-1.7869028981907955,-0.47943444508242244,-0.010652902103703343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ+Glob,1,0,1,dinst4,hindi,Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_1.csv,695.4819056573324,0.695611787219457,-1.317828766511008,-1.0058029461231341,-0.14976602431746888,-0.1784,-0.30438821278054295,-2.317828766511008,-1.0058029461231341,0.02863397568253112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob+Loc,-1,1,1,dinst4,hindi,Econ,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_1.csv,3956.0225811200216,-0.42385253735385814,-0.7348523674566588,-1.8760115454805177,-0.2172316385201847,-0.1784,0.5761474626461418,-1.734852367456659,-2.8760115454805177,-0.0388316385201847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glob+Loc,0,1,1,dinst4,hindi,Econ,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_1.csv,1479.82896109391,-0.7725661377803758,-0.6034525993483415,-0.35203132039530954,-0.10924811822258071,-0.1784,-0.7725661377803758,-1.6034525993483415,-1.3520313203953096,0.0691518817774193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ+Glob+Loc,1,1,1,dinst4,hindi,NA,TRUE,stan_models/master_pos.stan,hindi/dinst4/econ_1_loc_1_glob_1.csv,5241.606405209517,-0.26166468178692104,-1.1287185922836318,-1.9364558349851033,-0.19140713675918497,-0.1784,-1.261664681786921,-2.128718592283632,-2.9364558349851033,-0.013007136759184967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
