subject,trial,Phone_NOTENG,Phone_ENG,acoustic_distance,Econ,Loc,Glob,response_var
subject_21,trial_1,d̪ʰ,d,0.30167319073826043,0.2001093494,0.1550027337,0.2191323693,1
subject_22,trial_1,d̪ʰ,t,-0.11542860334371015,0.2001093494,0.1550027337,0.2191323693,0
subject_23,trial_1,ɖ,d,0.1728594602948706,0.3817204301,0.1693548387,0.03225806452,1
subject_24,trial_1,ɖ,t,-0.27625640507088695,0.3817204301,0.1693548387,0.03225806452,1
subject_25,trial_1,ɖʰ,d,0.2020497478063394,0.04786680541,0.08532778356,0.2474881015,1
subject_26,trial_1,ɖʰ,t,-0.33635633112719404,0.04786680541,0.08532778356,0.2474881015,0
subject_27,trial_1,dʒʰ,d͡ʒ,0.24783159429046436,0.01668520578,0.1062291435,0.1239388795,1
subject_28,trial_1,dʒʰ,t͡ʃ,-0.3770988658398972,0.01668520578,0.1062291435,0.1239388795,1
subject_29,trial_1,ɡʰ,g,0.20171392000049249,0.01668520578,0.1062291435,0.1516694963,1
subject_30,trial_1,ɡʰ,k,-0.07251514466103852,0.01668520578,0.1062291435,0.1516694963,1
subject_1,trial_2,ɳ,n,0.5484699042360933,0.3817204301,0.125,-0.07661290323,1
subject_2,trial_2,ɳ,j,0.2442177898008977,0.3817204301,0.125,-0.07661290323,1
subject_3,trial_2,ɽ,d,0.12693071245977938,0.0770609319,0.1326164875,0.1553166069,1
subject_4,trial_2,ɽ,ɾ,0.24670924936334712,0.0770609319,0.1326164875,0.1553166069,0
subject_5,trial_2,ʈ,t,0.1405102637325345,0.3817204301,0.1827956989,-0.08870967742,1
subject_6,trial_2,ʈ,d,-0.2629064489830001,0.3817204301,0.1827956989,-0.08870967742,0
subject_7,trial_2,bʰ,b,0.061933830938230905,0.01668520578,0.1062291435,0.1683644595,1
subject_8,trial_2,bʰ,d,-0.663871923465552,0.01668520578,0.1062291435,0.1683644595,1
subject_9,trial_2,d̪ʰ,d,0.3010633326165375,0.2001093494,0.1550027337,0.2191323693,1
subject_10,trial_2,d̪ʰ,t,-0.11450270509854689,0.2001093494,0.1550027337,0.2191323693,1
subject_11,trial_2,ɖ,d,0.17295883860650466,0.3817204301,0.1693548387,0.03225806452,1
subject_12,trial_2,ɖ,t,-0.2765358690923983,0.3817204301,0.1693548387,0.03225806452,1
subject_13,trial_2,ɖʰ,d,0.202196693399473,0.04786680541,0.08532778356,0.2474881015,0
subject_14,trial_2,ɖʰ,t,-0.3368988529040118,0.04786680541,0.08532778356,0.2474881015,1
subject_15,trial_2,dʒʰ,d͡ʒ,0.24756634779672249,0.01668520578,0.1062291435,0.1239388795,0
subject_16,trial_2,dʒʰ,t͡ʃ,-0.37707060397515313,0.01668520578,0.1062291435,0.1239388795,0
subject_17,trial_2,ɡʰ,g,0.2020453816724186,0.01668520578,0.1062291435,0.1516694963,1
subject_18,trial_2,ɡʰ,k,-0.07159912054787144,0.01668520578,0.1062291435,0.1516694963,0
subject_19,trial_2,ɳ,n,0.5485838493315206,0.3817204301,0.125,-0.07661290323,1
subject_20,trial_2,ɳ,j,0.2446812666243543,0.3817204301,0.125,-0.07661290323,1
subject_21,trial_2,ɽ,d,0.12787566579951257,0.0770609319,0.1326164875,0.1553166069,1
subject_22,trial_2,ɽ,ɾ,0.24701523175618723,0.0770609319,0.1326164875,0.1553166069,1
subject_23,trial_2,ʈ,t,0.13991352165648027,0.3817204301,0.1827956989,-0.08870967742,1
subject_24,trial_2,ʈ,d,-0.26283644728089633,0.3817204301,0.1827956989,-0.08870967742,1
subject_25,trial_2,bʰ,b,0.061376015176273585,0.01668520578,0.1062291435,0.1683644595,1
subject_26,trial_2,bʰ,d,-0.6645031267549751,0.01668520578,0.1062291435,0.1683644595,1
subject_27,trial_2,d̪ʰ,d,0.30156709925979347,0.2001093494,0.1550027337,0.2191323693,1
subject_28,trial_2,d̪ʰ,t,-0.11498868411085367,0.2001093494,0.1550027337,0.2191323693,1
subject_29,trial_2,ɖ,d,0.17293854539475398,0.3817204301,0.1693548387,0.03225806452,1
subject_30,trial_2,ɖ,t,-0.27618747238777297,0.3817204301,0.1693548387,0.03225806452,1
subject_1,trial_3,ɖʰ,d,0.20139937838503988,0.04786680541,0.08532778356,0.2474881015,0
subject_2,trial_3,ɖʰ,t,-0.33667002037741367,0.04786680541,0.08532778356,0.2474881015,1
subject_3,trial_3,dʒʰ,d͡ʒ,0.2470360633233294,0.01668520578,0.1062291435,0.1239388795,1
subject_4,trial_3,dʒʰ,t͡ʃ,-0.37754537675367905,0.01668520578,0.1062291435,0.1239388795,0
subject_5,trial_3,ɡʰ,g,0.20119683549545603,0.01668520578,0.1062291435,0.1516694963,1
subject_6,trial_3,ɡʰ,k,-0.07183624380572452,0.01668520578,0.1062291435,0.1516694963,1
subject_7,trial_3,ɳ,n,0.54855651567119,0.3817204301,0.125,-0.07661290323,0
subject_8,trial_3,ɳ,j,0.2448731863532816,0.3817204301,0.125,-0.07661290323,1
subject_9,trial_3,ɽ,d,0.127641373881775,0.0770609319,0.1326164875,0.1553166069,1
subject_10,trial_3,ɽ,ɾ,0.2472355571922578,0.0770609319,0.1326164875,0.1553166069,1
subject_11,trial_3,ʈ,t,0.13992242977134198,0.3817204301,0.1827956989,-0.08870967742,1
subject_12,trial_3,ʈ,d,-0.26198794677301257,0.3817204301,0.1827956989,-0.08870967742,1
subject_13,trial_3,bʰ,b,0.06231278651256457,0.01668520578,0.1062291435,0.1683644595,0
subject_14,trial_3,bʰ,d,-0.6648733102697788,0.01668520578,0.1062291435,0.1683644595,1
subject_15,trial_3,d̪ʰ,d,0.30181394172329423,0.2001093494,0.1550027337,0.2191323693,1
subject_16,trial_3,d̪ʰ,t,-0.11479712891173346,0.2001093494,0.1550027337,0.2191323693,0
subject_17,trial_3,ɖ,d,0.1726474916461575,0.3817204301,0.1693548387,0.03225806452,1
subject_18,trial_3,ɖ,t,-0.2768821922955075,0.3817204301,0.1693548387,0.03225806452,0
subject_19,trial_3,ɖʰ,d,0.2018724147601229,0.04786680541,0.08532778356,0.2474881015,1
subject_20,trial_3,ɖʰ,t,-0.3372105475806271,0.04786680541,0.08532778356,0.2474881015,1
subject_21,trial_3,dʒʰ,d͡ʒ,0.24714915798666998,0.01668520578,0.1062291435,0.1239388795,1
subject_22,trial_3,dʒʰ,t͡ʃ,-0.3773778092477122,0.01668520578,0.1062291435,0.1239388795,0
subject_23,trial_3,ɡʰ,g,0.20196342279428514,0.01668520578,0.1062291435,0.1516694963,1
subject_24,trial_3,ɡʰ,k,-0.07272027032931089,0.01668520578,0.1062291435,0.1516694963,1
subject_25,trial_3,ɳ,n,0.5491103015627415,0.3817204301,0.125,-0.07661290323,0
subject_26,trial_3,ɳ,j,0.2443592575322506,0.3817204301,0.125,-0.07661290323,0
subject_27,trial_3,ɽ,d,0.12724145601613732,0.0770609319,0.1326164875,0.1553166069,1
subject_28,trial_3,ɽ,ɾ,0.2473419045012176,0.0770609319,0.1326164875,0.1553166069,1
subject_29,trial_3,ʈ,t,0.14007200637263492,0.3817204301,0.1827956989,-0.08870967742,0
subject_30,trial_3,ʈ,d,-0.26182879875802384,0.3817204301,0.1827956989,-0.08870967742,0
subject_1,trial_4,bʰ,b,0.062204422726690474,0.01668520578,0.1062291435,0.1683644595,0
subject_2,trial_4,bʰ,d,-0.664481142061474,0.01668520578,0.1062291435,0.1683644595,1
subject_3,trial_4,d̪ʰ,d,0.30152374037122326,0.2001093494,0.1550027337,0.2191323693,0
subject_4,trial_4,d̪ʰ,t,-0.1151805894687286,0.2001093494,0.1550027337,0.2191323693,1
subject_5,trial_4,ɖ,d,0.17292678246206597,0.3817204301,0.1693548387,0.03225806452,1
subject_6,trial_4,ɖ,t,-0.27622285957708675,0.3817204301,0.1693548387,0.03225806452,1
subject_7,trial_4,ɖʰ,d,0.20190587075335803,0.04786680541,0.08532778356,0.2474881015,1
subject_8,trial_4,ɖʰ,t,-0.33661478337874756,0.04786680541,0.08532778356,0.2474881015,1
subject_9,trial_4,dʒʰ,d͡ʒ,0.24670552772569582,0.01668520578,0.1062291435,0.1239388795,1
subject_10,trial_4,dʒʰ,t͡ʃ,-0.3780109642998898,0.01668520578,0.1062291435,0.1239388795,1
subject_11,trial_4,ɡʰ,g,0.2016304745650095,0.01668520578,0.1062291435,0.1516694963,1
subject_12,trial_4,ɡʰ,k,-0.07248226458054721,0.01668520578,0.1062291435,0.1516694963,1
subject_13,trial_4,ɳ,n,0.5482877760603727,0.3817204301,0.125,-0.07661290323,1
subject_14,trial_4,ɳ,j,0.24407086923053906,0.3817204301,0.125,-0.07661290323,1
subject_15,trial_4,ɽ,d,0.12682649771122545,0.0770609319,0.1326164875,0.1553166069,1
subject_16,trial_4,ɽ,ɾ,0.24708465716137662,0.0770609319,0.1326164875,0.1553166069,1
subject_17,trial_4,ʈ,t,0.13994311771904364,0.3817204301,0.1827956989,-0.08870967742,1
subject_18,trial_4,ʈ,d,-0.2626563167703053,0.3817204301,0.1827956989,-0.08870967742,1
subject_19,trial_4,bʰ,b,0.061938138517014386,0.01668520578,0.1062291435,0.1683644595,1
subject_20,trial_4,bʰ,d,-0.6646969070345072,0.01668520578,0.1062291435,0.1683644595,0
subject_21,trial_4,d̪ʰ,d,0.301573407458048,0.2001093494,0.1550027337,0.2191323693,1
subject_22,trial_4,d̪ʰ,t,-0.11497740618469923,0.2001093494,0.1550027337,0.2191323693,1
subject_23,trial_4,ɖ,d,0.1734985365640092,0.3817204301,0.1693548387,0.03225806452,1
subject_24,trial_4,ɖ,t,-0.2765558580368729,0.3817204301,0.1693548387,0.03225806452,1
subject_25,trial_4,ɖʰ,d,0.20178991693455622,0.04786680541,0.08532778356,0.2474881015,1
subject_26,trial_4,ɖʰ,t,-0.3366802773078543,0.04786680541,0.08532778356,0.2474881015,1
subject_27,trial_4,dʒʰ,d͡ʒ,0.2476567420805536,0.01668520578,0.1062291435,0.1239388795,1
subject_28,trial_4,dʒʰ,t͡ʃ,-0.3776486029866734,0.01668520578,0.1062291435,0.1239388795,1
subject_29,trial_4,ɡʰ,g,0.2020862513754693,0.01668520578,0.1062291435,0.1516694963,0
subject_30,trial_4,ɡʰ,k,-0.0719982650664331,0.01668520578,0.1062291435,0.1516694963,1
subject_1,trial_5,ɳ,n,0.5488144892858976,0.3817204301,0.125,-0.07661290323,1
subject_2,trial_5,ɳ,j,0.24427325480129988,0.3817204301,0.125,-0.07661290323,1
subject_3,trial_5,ɽ,d,0.1268191049131407,0.0770609319,0.1326164875,0.1553166069,1
subject_4,trial_5,ɽ,ɾ,0.24711252138556092,0.0770609319,0.1326164875,0.1553166069,1
subject_5,trial_5,ʈ,t,0.13995523892416864,0.3817204301,0.1827956989,-0.08870967742,0
subject_6,trial_5,ʈ,d,-0.26243305454251303,0.3817204301,0.1827956989,-0.08870967742,1
subject_7,trial_5,bʰ,b,0.06222558288148016,0.01668520578,0.1062291435,0.1683644595,1
subject_8,trial_5,bʰ,d,-0.6646175516090265,0.01668520578,0.1062291435,0.1683644595,1
subject_9,trial_5,d̪ʰ,d,0.3017257836624977,0.2001093494,0.1550027337,0.2191323693,0
subject_10,trial_5,d̪ʰ,t,-0.11559608267401143,0.2001093494,0.1550027337,0.2191323693,1
subject_11,trial_5,ɖ,d,0.17329411772877903,0.3817204301,0.1693548387,0.03225806452,1
subject_12,trial_5,ɖ,t,-0.27680074651865005,0.3817204301,0.1693548387,0.03225806452,0
subject_13,trial_5,ɖʰ,d,0.2012313860138123,0.04786680541,0.08532778356,0.2474881015,1
subject_14,trial_5,ɖʰ,t,-0.3370865252934967,0.04786680541,0.08532778356,0.2474881015,1
subject_15,trial_5,dʒʰ,d͡ʒ,0.24723318808420672,0.01668520578,0.1062291435,0.1239388795,0
subject_16,trial_5,dʒʰ,t͡ʃ,-0.3781826671845862,0.01668520578,0.1062291435,0.1239388795,1
subject_17,trial_5,ɡʰ,g,0.20155801502179252,0.01668520578,0.1062291435,0.1516694963,1
subject_18,trial_5,ɡʰ,k,-0.07200198342787788,0.01668520578,0.1062291435,0.1516694963,1
subject_19,trial_5,ɳ,n,0.5493072266222613,0.3817204301,0.125,-0.07661290323,1
subject_20,trial_5,ɳ,j,0.24405404692633495,0.3817204301,0.125,-0.07661290323,1
subject_21,trial_5,ɽ,d,0.127259408265709,0.0770609319,0.1326164875,0.1553166069,1
subject_22,trial_5,ɽ,ɾ,0.24715715893318055,0.0770609319,0.1326164875,0.1553166069,1
subject_23,trial_5,ʈ,t,0.13947132985609828,0.3817204301,0.1827956989,-0.08870967742,1
subject_24,trial_5,ʈ,d,-0.2628354644116661,0.3817204301,0.1827956989,-0.08870967742,1
subject_25,trial_5,bʰ,b,0.061644408215511294,0.01668520578,0.1062291435,0.1683644595,1
subject_26,trial_5,bʰ,d,-0.6645930618591516,0.01668520578,0.1062291435,0.1683644595,1
subject_27,trial_5,d̪ʰ,d,0.3015360154714432,0.2001093494,0.1550027337,0.2191323693,1
subject_28,trial_5,d̪ʰ,t,-0.11545912334569527,0.2001093494,0.1550027337,0.2191323693,0
subject_29,trial_5,ɖ,d,0.17359070742462757,0.3817204301,0.1693548387,0.03225806452,1
subject_30,trial_5,ɖ,t,-0.2764796520969802,0.3817204301,0.1693548387,0.03225806452,1
subject_1,trial_6,ɖʰ,d,0.2014127753571783,0.04786680541,0.08532778356,0.2474881015,0
subject_2,trial_6,ɖʰ,t,-0.3373199192456541,0.04786680541,0.08532778356,0.2474881015,1
subject_3,trial_6,dʒʰ,d͡ʒ,0.24674138722323924,0.01668520578,0.1062291435,0.1239388795,1
subject_4,trial_6,dʒʰ,t͡ʃ,-0.37818836155930774,0.01668520578,0.1062291435,0.1239388795,1
subject_5,trial_6,ɡʰ,g,0.20219854465398834,0.01668520578,0.1062291435,0.1516694963,1
subject_6,trial_6,ɡʰ,k,-0.07248689206025317,0.01668520578,0.1062291435,0.1516694963,0
subject_7,trial_6,ɳ,n,0.5488693333808967,0.3817204301,0.125,-0.07661290323,0
subject_8,trial_6,ɳ,j,0.244190134975933,0.3817204301,0.125,-0.07661290323,1
subject_9,trial_6,ɽ,d,0.1274105483707814,0.0770609319,0.1326164875,0.1553166069,1
subject_10,trial_6,ɽ,ɾ,0.2478334436501108,0.0770609319,0.1326164875,0.1553166069,0
subject_11,trial_6,ʈ,t,0.13945959878470063,0.3817204301,0.1827956989,-0.08870967742,0
subject_12,trial_6,ʈ,d,-0.26270287573846934,0.3817204301,0.1827956989,-0.08870967742,1
subject_13,trial_6,bʰ,b,0.06131866641577676,0.01668520578,0.1062291435,0.1683644595,1
subject_14,trial_6,bʰ,d,-0.6642789744129313,0.01668520578,0.1062291435,0.1683644595,1
subject_15,trial_6,d̪ʰ,d,0.3020749168008563,0.2001093494,0.1550027337,0.2191323693,1
subject_16,trial_6,d̪ʰ,t,-0.11476557617853193,0.2001093494,0.1550027337,0.2191323693,0
subject_17,trial_6,ɖ,d,0.17313418549622403,0.3817204301,0.1693548387,0.03225806452,1
subject_18,trial_6,ɖ,t,-0.2760847818843992,0.3817204301,0.1693548387,0.03225806452,0
subject_19,trial_6,ɖʰ,d,0.2014570067842667,0.04786680541,0.08532778356,0.2474881015,0
subject_20,trial_6,ɖʰ,t,-0.33676881331173825,0.04786680541,0.08532778356,0.2474881015,1
subject_21,trial_6,dʒʰ,d͡ʒ,0.2472612409336224,0.01668520578,0.1062291435,0.1239388795,1
subject_22,trial_6,dʒʰ,t͡ʃ,-0.37712374355649814,0.01668520578,0.1062291435,0.1239388795,0
subject_23,trial_6,ɡʰ,g,0.20125573690796167,0.01668520578,0.1062291435,0.1516694963,0
subject_24,trial_6,ɡʰ,k,-0.07163830936473549,0.01668520578,0.1062291435,0.1516694963,0
subject_25,trial_6,ɳ,n,0.5494460555407853,0.3817204301,0.125,-0.07661290323,1
subject_26,trial_6,ɳ,j,0.24458439068185583,0.3817204301,0.125,-0.07661290323,1
subject_27,trial_6,ɽ,d,0.12686996021408872,0.0770609319,0.1326164875,0.1553166069,0
subject_28,trial_6,ɽ,ɾ,0.24722002491100803,0.0770609319,0.1326164875,0.1553166069,1
subject_29,trial_6,ʈ,t,0.14008756007300005,0.3817204301,0.1827956989,-0.08870967742,1
subject_30,trial_6,ʈ,d,-0.2625881109079993,0.3817204301,0.1827956989,-0.08870967742,0
subject_1,trial_7,bʰ,b,0.06139616334589541,0.01668520578,0.1062291435,0.1683644595,0
subject_2,trial_7,bʰ,d,-0.6640453494356854,0.01668520578,0.1062291435,0.1683644595,1
subject_3,trial_7,d̪ʰ,d,0.3020020043294874,0.2001093494,0.1550027337,0.2191323693,1
subject_4,trial_7,d̪ʰ,t,-0.1147738960648401,0.2001093494,0.1550027337,0.2191323693,1
subject_5,trial_7,ɖ,d,0.17309639154148282,0.3817204301,0.1693548387,0.03225806452,0
subject_6,trial_7,ɖ,t,-0.27708784688310417,0.3817204301,0.1693548387,0.03225806452,1
subject_7,trial_7,ɖʰ,d,0.20175273612385514,0.04786680541,0.08532778356,0.2474881015,1
subject_8,trial_7,ɖʰ,t,-0.3371993654828158,0.04786680541,0.08532778356,0.2474881015,1
subject_9,trial_7,dʒʰ,d͡ʒ,0.24774573077426404,0.01668520578,0.1062291435,0.1239388795,1
subject_10,trial_7,dʒʰ,t͡ʃ,-0.3780637426142232,0.01668520578,0.1062291435,0.1239388795,0
subject_11,trial_7,ɡʰ,g,0.20200239097151804,0.01668520578,0.1062291435,0.1516694963,0
subject_12,trial_7,ɡʰ,k,-0.07160161742183134,0.01668520578,0.1062291435,0.1516694963,0
subject_13,trial_7,ɳ,n,0.5486749805567489,0.3817204301,0.125,-0.07661290323,1
subject_14,trial_7,ɳ,j,0.2445683965529916,0.3817204301,0.125,-0.07661290323,0
subject_15,trial_7,ɽ,d,0.12760744075568678,0.0770609319,0.1326164875,0.1553166069,0
subject_16,trial_7,ɽ,ɾ,0.24756357448815478,0.0770609319,0.1326164875,0.1553166069,1
subject_17,trial_7,ʈ,t,0.14019227206706314,0.3817204301,0.1827956989,-0.08870967742,0
subject_18,trial_7,ʈ,d,-0.2618865639415285,0.3817204301,0.1827956989,-0.08870967742,1
subject_19,trial_7,bʰ,b,0.06134516069444239,0.01668520578,0.1062291435,0.1683644595,1
subject_20,trial_7,bʰ,d,-0.6641295783083795,0.01668520578,0.1062291435,0.1683644595,1
subject_21,trial_7,d̪ʰ,d,0.30181711549852014,0.2001093494,0.1550027337,0.2191323693,0
subject_22,trial_7,d̪ʰ,t,-0.11518693363289147,0.2001093494,0.1550027337,0.2191323693,1
subject_23,trial_7,ɖ,d,0.17326442804175424,0.3817204301,0.1693548387,0.03225806452,1
subject_24,trial_7,ɖ,t,-0.27660879143932554,0.3817204301,0.1693548387,0.03225806452,1
subject_25,trial_7,ɖʰ,d,0.2013536119970669,0.04786680541,0.08532778356,0.2474881015,1
subject_26,trial_7,ɖʰ,t,-0.33698553916771085,0.04786680541,0.08532778356,0.2474881015,0
subject_27,trial_7,dʒʰ,d͡ʒ,0.2466990696623653,0.01668520578,0.1062291435,0.1239388795,1
subject_28,trial_7,dʒʰ,t͡ʃ,-0.3772435367616476,0.01668520578,0.1062291435,0.1239388795,1
subject_29,trial_7,ɡʰ,g,0.20201996444176779,0.01668520578,0.1062291435,0.1516694963,1
subject_30,trial_7,ɡʰ,k,-0.07242010829594672,0.01668520578,0.1062291435,0.1516694963,1
subject_1,trial_8,ɳ,n,0.5488004615029024,0.3817204301,0.125,-0.07661290323,1
subject_2,trial_8,ɳ,j,0.24486770640580402,0.3817204301,0.125,-0.07661290323,1
subject_3,trial_8,ɽ,d,0.12682663667228355,0.0770609319,0.1326164875,0.1553166069,1
subject_4,trial_8,ɽ,ɾ,0.2477049111148074,0.0770609319,0.1326164875,0.1553166069,1
subject_5,trial_8,ʈ,t,0.14038203752785236,0.3817204301,0.1827956989,-0.08870967742,1
subject_6,trial_8,ʈ,d,-0.2629191245878762,0.3817204301,0.1827956989,-0.08870967742,0
subject_7,trial_8,bʰ,b,0.061845927461538164,0.01668520578,0.1062291435,0.1683644595,1
subject_8,trial_8,bʰ,d,-0.6645064849083221,0.01668520578,0.1062291435,0.1683644595,1
subject_9,trial_8,d̪ʰ,d,0.3014170591599305,0.2001093494,0.1550027337,0.2191323693,1
subject_10,trial_8,d̪ʰ,t,-0.11522616883772223,0.2001093494,0.1550027337,0.2191323693,1
subject_11,trial_8,ɖ,d,0.17303334318964736,0.3817204301,0.1693548387,0.03225806452,1
subject_12,trial_8,ɖ,t,-0.27711014049751403,0.3817204301,0.1693548387,0.03225806452,1
subject_13,trial_8,ɖʰ,d,0.20199970718391136,0.04786680541,0.08532778356,0.2474881015,1
subject_14,trial_8,ɖʰ,t,-0.33658784455802415,0.04786680541,0.08532778356,0.2474881015,0
subject_15,trial_8,dʒʰ,d͡ʒ,0.24715870641187876,0.01668520578,0.1062291435,0.1239388795,1
subject_16,trial_8,dʒʰ,t͡ʃ,-0.3778825930829742,0.01668520578,0.1062291435,0.1239388795,1
subject_17,trial_8,ɡʰ,g,0.2021423718208623,0.01668520578,0.1062291435,0.1516694963,1
subject_18,trial_8,ɡʰ,k,-0.07192367101066499,0.01668520578,0.1062291435,0.1516694963,1
subject_19,trial_8,ɳ,n,0.5494010022247845,0.3817204301,0.125,-0.07661290323,1
subject_20,trial_8,ɳ,j,0.2439779220369314,0.3817204301,0.125,-0.07661290323,0
subject_21,trial_8,ɽ,d,0.12729962783091053,0.0770609319,0.1326164875,0.1553166069,0
subject_22,trial_8,ɽ,ɾ,0.24771477470963374,0.0770609319,0.1326164875,0.1553166069,1
subject_23,trial_8,ʈ,t,0.1393885442392832,0.3817204301,0.1827956989,-0.08870967742,1
subject_24,trial_8,ʈ,d,-0.2620840051253973,0.3817204301,0.1827956989,-0.08870967742,1
subject_25,trial_8,bʰ,b,0.0621306580423598,0.01668520578,0.1062291435,0.1683644595,1
subject_26,trial_8,bʰ,d,-0.66438061716388,0.01668520578,0.1062291435,0.1683644595,1
subject_27,trial_8,d̪ʰ,d,0.3020264153716151,0.2001093494,0.1550027337,0.2191323693,0
subject_28,trial_8,d̪ʰ,t,-0.1149010083785726,0.2001093494,0.1550027337,0.2191323693,1
subject_29,trial_8,ɖ,d,0.1725331509327236,0.3817204301,0.1693548387,0.03225806452,1
subject_30,trial_8,ɖ,t,-0.276266881610264,0.3817204301,0.1693548387,0.03225806452,0
subject_1,trial_9,ɖʰ,d,0.20226300213115186,0.04786680541,0.08532778356,0.2474881015,0
subject_2,trial_9,ɖʰ,t,-0.3367375113186997,0.04786680541,0.08532778356,0.2474881015,1
subject_3,trial_9,dʒʰ,d͡ʒ,0.24749930820080562,0.01668520578,0.1062291435,0.1239388795,0
subject_4,trial_9,dʒʰ,t͡ʃ,-0.3772015221501352,0.01668520578,0.1062291435,0.1239388795,1
subject_5,trial_9,ɡʰ,g,0.20162875240214065,0.01668520578,0.1062291435,0.1516694963,1
subject_6,trial_9,ɡʰ,k,-0.07179875004018411,0.01668520578,0.1062291435,0.1516694963,1
subject_7,trial_9,ɳ,n,0.5490147784504743,0.3817204301,0.125,-0.07661290323,1
subject_8,trial_9,ɳ,j,0.2439454533860688,0.3817204301,0.125,-0.07661290323,1
subject_9,trial_9,ɽ,d,0.1275979263400501,0.0770609319,0.1326164875,0.1553166069,1
subject_10,trial_9,ɽ,ɾ,0.24783457549453825,0.0770609319,0.1326164875,0.1553166069,1
subject_11,trial_9,ʈ,t,0.13957905798805192,0.3817204301,0.1827956989,-0.08870967742,1
subject_12,trial_9,ʈ,d,-0.26218286578130856,0.3817204301,0.1827956989,-0.08870967742,1
subject_13,trial_9,bʰ,b,0.06158117729911924,0.01668520578,0.1062291435,0.1683644595,1
subject_14,trial_9,bʰ,d,-0.6644803535867391,0.01668520578,0.1062291435,0.1683644595,1
subject_15,trial_9,d̪ʰ,d,0.3019846187485379,0.2001093494,0.1550027337,0.2191323693,1
subject_16,trial_9,d̪ʰ,t,-0.11448826540284589,0.2001093494,0.1550027337,0.2191323693,1
subject_17,trial_9,ɖ,d,0.17273986185581416,0.3817204301,0.1693548387,0.03225806452,1
subject_18,trial_9,ɖ,t,-0.27607676154635563,0.3817204301,0.1693548387,0.03225806452,1
subject_19,trial_9,ɖʰ,d,0.20157696221500532,0.04786680541,0.08532778356,0.2474881015,1
subject_20,trial_9,ɖʰ,t,-0.33637279638718937,0.04786680541,0.08532778356,0.2474881015,1
subject_21,trial_9,dʒʰ,d͡ʒ,0.24772609823697359,0.01668520578,0.1062291435,0.1239388795,0
subject_22,trial_9,dʒʰ,t͡ʃ,-0.37781759874882415,0.01668520578,0.1062291435,0.1239388795,1
subject_23,trial_9,ɡʰ,g,0.20115760786702752,0.01668520578,0.1062291435,0.1516694963,1
subject_24,trial_9,ɡʰ,k,-0.07267370969091295,0.01668520578,0.1062291435,0.1516694963,1
subject_25,trial_9,ɳ,n,0.5492515538020695,0.3817204301,0.125,-0.07661290323,1
subject_26,trial_9,ɳ,j,0.24425452937340783,0.3817204301,0.125,-0.07661290323,1
subject_27,trial_9,ɽ,d,0.12706584280038535,0.0770609319,0.1326164875,0.1553166069,1
subject_28,trial_9,ɽ,ɾ,0.24788924049760325,0.0770609319,0.1326164875,0.1553166069,1
subject_29,trial_9,ʈ,t,0.13960069535197003,0.3817204301,0.1827956989,-0.08870967742,1
subject_30,trial_9,ʈ,d,-0.26244284882347046,0.3817204301,0.1827956989,-0.08870967742,1
subject_1,trial_10,bʰ,b,0.06212876465369359,0.01668520578,0.1062291435,0.1683644595,1
subject_2,trial_10,bʰ,d,-0.6640312105639746,0.01668520578,0.1062291435,0.1683644595,1
