subject,trial,Phone_NOTENG,Phone_ENG,Econ,Loc,Glob,acoustic_distance,response_var
subject_20,trial_2,ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995,1
subject_21,trial_2,ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005,1
subject_22,trial_2,ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401,1
subject_23,trial_2,ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003,1
subject_24,trial_2,ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903,0
subject_25,trial_2,ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023,0
subject_26,trial_2,x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023,1
subject_27,trial_2,x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499,1
subject_28,trial_2,x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399,0
subject_29,trial_2,x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001,0
subject_30,trial_2,bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994,1
subject_1,trial_3,bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801,0
subject_2,trial_3,bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302,1
subject_3,trial_3,bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926,1
subject_4,trial_3,bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_5,trial_3,bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_6,trial_3,bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937,0
subject_7,trial_3,d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497,0
subject_8,trial_3,d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004,0
subject_9,trial_3,d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202,0
subject_10,trial_3,d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,0
subject_11,trial_3,d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993,1
subject_12,trial_3,d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
subject_13,trial_3,d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004,1
subject_14,trial_3,ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302,1
subject_15,trial_3,ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027,0
subject_16,trial_3,ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996,0
subject_17,trial_3,ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899,1
subject_18,trial_3,ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597,0
subject_19,trial_3,ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396,1
subject_20,trial_3,ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304,1
subject_21,trial_3,ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705,1
subject_22,trial_3,ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963,1
subject_23,trial_3,ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498,1
subject_24,trial_3,ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999,1
subject_25,trial_3,ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002,1
subject_26,trial_3,ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998,1
subject_27,trial_3,ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002,1
subject_28,trial_3,dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393,1
subject_29,trial_3,dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801,1
subject_30,trial_3,dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,1
subject_1,trial_4,dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
subject_2,trial_4,dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995,1
subject_3,trial_4,dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602,1
subject_4,trial_4,ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035,0
subject_5,trial_4,ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004,0
subject_6,trial_4,ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963,1
subject_7,trial_4,ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303,1
subject_8,trial_4,ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,0
subject_9,trial_4,ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
subject_10,trial_4,ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104,0
subject_11,trial_4,ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007,1
subject_12,trial_4,ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698,1
subject_13,trial_4,ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704,0
subject_14,trial_4,ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903,0
subject_15,trial_4,ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198,1
subject_16,trial_4,ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995,1
subject_17,trial_4,ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,0
subject_18,trial_4,ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035,1
subject_19,trial_4,ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995,1
subject_20,trial_4,ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005,1
subject_21,trial_4,ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401,1
subject_22,trial_4,ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003,0
subject_23,trial_4,ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903,0
subject_24,trial_4,ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023,1
subject_25,trial_4,x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023,1
subject_26,trial_4,x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499,1
subject_27,trial_4,x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399,0
subject_28,trial_4,x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001,0
subject_29,trial_4,bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994,1
subject_30,trial_4,bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801,1
subject_1,trial_5,bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302,1
subject_2,trial_5,bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926,0
subject_3,trial_5,bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_4,trial_5,bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_5,trial_5,bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937,0
subject_6,trial_5,d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497,1
subject_7,trial_5,d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004,1
subject_8,trial_5,d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202,1
subject_9,trial_5,d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,1
subject_10,trial_5,d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993,0
subject_11,trial_5,d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
subject_12,trial_5,d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004,1
subject_13,trial_5,ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302,1
subject_14,trial_5,ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027,1
subject_15,trial_5,ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996,1
subject_16,trial_5,ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899,1
subject_17,trial_5,ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597,1
subject_18,trial_5,ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396,1
subject_19,trial_5,ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304,0
subject_20,trial_5,ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705,1
subject_21,trial_5,ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963,0
subject_22,trial_5,ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498,0
subject_23,trial_5,ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999,1
subject_24,trial_5,ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002,0
subject_25,trial_5,ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998,1
subject_26,trial_5,ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002,1
subject_27,trial_5,dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393,1
subject_28,trial_5,dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801,0
subject_29,trial_5,dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,1
subject_30,trial_5,dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,0
subject_1,trial_6,dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995,1
subject_2,trial_6,dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602,1
subject_3,trial_6,ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035,0
subject_4,trial_6,ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004,0
subject_5,trial_6,ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963,1
subject_6,trial_6,ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303,1
subject_7,trial_6,ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,0
subject_8,trial_6,ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
subject_9,trial_6,ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104,1
subject_10,trial_6,ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007,0
subject_11,trial_6,ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698,1
subject_12,trial_6,ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704,1
subject_13,trial_6,ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903,0
subject_14,trial_6,ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198,1
subject_15,trial_6,ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995,0
subject_16,trial_6,ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
subject_17,trial_6,ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035,1
subject_18,trial_6,ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995,0
subject_19,trial_6,ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005,0
subject_20,trial_6,ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401,0
subject_21,trial_6,ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003,0
subject_22,trial_6,ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903,1
subject_23,trial_6,ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023,1
subject_24,trial_6,x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023,1
subject_25,trial_6,x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499,1
subject_26,trial_6,x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399,1
subject_27,trial_6,x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001,1
subject_28,trial_6,bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994,1
subject_29,trial_6,bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801,1
subject_30,trial_6,bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302,1
subject_1,trial_7,bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926,0
subject_2,trial_7,bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_3,trial_7,bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_4,trial_7,bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937,1
subject_5,trial_7,d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497,1
subject_6,trial_7,d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004,1
subject_7,trial_7,d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202,0
subject_8,trial_7,d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,0
subject_9,trial_7,d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993,1
subject_10,trial_7,d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,0
subject_11,trial_7,d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004,1
subject_12,trial_7,ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302,0
subject_13,trial_7,ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027,0
subject_14,trial_7,ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996,1
subject_15,trial_7,ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899,1
subject_16,trial_7,ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597,1
subject_17,trial_7,ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396,1
subject_18,trial_7,ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304,1
subject_19,trial_7,ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705,1
subject_20,trial_7,ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963,0
subject_21,trial_7,ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498,1
subject_22,trial_7,ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999,0
subject_23,trial_7,ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002,0
subject_24,trial_7,ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998,1
subject_25,trial_7,ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002,1
subject_26,trial_7,dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393,0
subject_27,trial_7,dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801,0
subject_28,trial_7,dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,1
subject_29,trial_7,dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
subject_30,trial_7,dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995,1
subject_1,trial_8,dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602,0
subject_2,trial_8,ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035,1
subject_3,trial_8,ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004,1
subject_4,trial_8,ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963,1
subject_5,trial_8,ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303,1
subject_6,trial_8,ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,1
subject_7,trial_8,ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
subject_8,trial_8,ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104,1
subject_9,trial_8,ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007,1
subject_10,trial_8,ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698,1
subject_11,trial_8,ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704,1
subject_12,trial_8,ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903,1
subject_13,trial_8,ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198,1
subject_14,trial_8,ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995,0
subject_15,trial_8,ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
subject_16,trial_8,ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035,1
subject_17,trial_8,ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995,1
subject_18,trial_8,ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005,0
subject_19,trial_8,ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401,1
subject_20,trial_8,ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003,1
subject_21,trial_8,ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903,0
subject_22,trial_8,ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023,1
subject_23,trial_8,x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023,0
subject_24,trial_8,x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499,1
subject_25,trial_8,x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399,1
subject_26,trial_8,x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001,1
subject_27,trial_8,bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994,1
subject_28,trial_8,bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801,1
subject_29,trial_8,bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302,0
subject_30,trial_8,bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926,1
subject_1,trial_9,bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_2,trial_9,bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_3,trial_9,bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937,1
subject_4,trial_9,d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497,1
subject_5,trial_9,d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004,1
subject_6,trial_9,d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202,1
subject_7,trial_9,d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,1
subject_8,trial_9,d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993,0
subject_9,trial_9,d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,0
subject_10,trial_9,d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004,1
subject_11,trial_9,ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302,0
subject_12,trial_9,ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027,1
subject_13,trial_9,ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996,0
subject_14,trial_9,ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899,1
subject_15,trial_9,ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597,1
subject_16,trial_9,ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396,0
subject_17,trial_9,ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304,1
subject_18,trial_9,ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705,1
subject_19,trial_9,ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963,1
subject_20,trial_9,ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498,0
subject_21,trial_9,ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999,1
subject_22,trial_9,ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002,0
subject_23,trial_9,ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998,0
subject_24,trial_9,ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002,0
subject_25,trial_9,dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393,1
subject_26,trial_9,dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801,1
subject_27,trial_9,dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,1
subject_28,trial_9,dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
subject_29,trial_9,dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995,1
subject_30,trial_9,dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602,1
subject_1,trial_10,ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035,1
subject_2,trial_10,ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004,1
subject_3,trial_10,ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963,0
